Project_ID,Project_Name,House_Number,Street_Name,Borough,Community_Board,Council_District,Latitude_(Internal),Longitude_(Internal),Extended_Affordability_Status,Prevailing_Wage_Status,Extremely_Low_Income_Units,Very_Low_Income,All_Counted_Units,Total_Units
54651,CONFIDENTIAL,----,----,Staten Island,501,50,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
50871,181 Front Street,181,FRONT STREET,Brooklyn,302,33,40.70259751,-73.98596314,Not Extended Affordability,Non Prevailing Wage,0,0,21,105
51918,225 E 39th Street (fka 222 East 40th Street),601,3 AVENUE,Manhattan,106,4,40.74894912,-73.97507554,Not Extended Affordability,Non Prevailing Wage,0,0,75,372
54642,CONFIDENTIAL,----,----,Staten Island,502,50,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
55437,Atlantic Yards B14 (Pacific Park),553,CARLTON AVENUE,Brooklyn,308,35,40.68118265,-73.9705436,Not Extended Affordability,Non Prevailing Wage,0,15,299,299
52272,Carroll Gardens- Phase 2 (363 Bond Street),363,BOND STREET,Brooklyn,306,39,40.6779883,-73.98970337,Not Extended Affordability,Non Prevailing Wage,0,0,54,267
50702,223 North 8th Street,230,NORTH 9 STREET,Brooklyn,301,33,40.71736446,-73.95458294,Not Extended Affordability,Non Prevailing Wage,0,0,19,94
54635,CONFIDENTIAL,----,----,Staten Island,502,50,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54647,CONFIDENTIAL,----,----,Bronx,209,18,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
54638,CONFIDENTIAL,----,----,Queens,409,32,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54644,CONFIDENTIAL,----,----,Queens,403,25,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58510,Maria Isabel Apartments (20140296),787,EAST 149 STREET,Bronx,201,8,40.81317649,-73.90663273,Not Extended Affordability,Non Prevailing Wage,0,0,99,99
54640,CONFIDENTIAL,----,----,Staten Island,501,49,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54679,CONFIDENTIAL,----,----,Manhattan,112,10,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54566,CONFIDENTIAL,----,----,Brooklyn,318,45,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
50467,210 East 39th Street,210,EAST 39 STREET,Manhattan,106,4,40.74844142,-73.97541859,Not Extended Affordability,Non Prevailing Wage,0,0,11,55
52733,HCCI 2,2031,ADAM C POWELL BOULEVARD,Manhattan,110,9,40.80660494,-73.94954801,Not Extended Affordability,Non Prevailing Wage,0,0,11,11
52733,HCCI 2,2400,ADAM C POWELL BOULEVARD,Manhattan,110,9,40.81882346,-73.94163735,Not Extended Affordability,Non Prevailing Wage,0,0,54,54
52733,HCCI 2,2815,FREDERICK DOUGLASS BOULEVARD,Manhattan,110,9,40.82599181,-73.9399834,Not Extended Affordability,Non Prevailing Wage,0,0,12,12
52733,HCCI 2,2819,FREDERICK DOUGLASS BOULEVARD,Manhattan,110,9,40.82633206,-73.93980243,Not Extended Affordability,Non Prevailing Wage,0,0,44,44
52733,HCCI 2,2844,FREDERICK DOUGLASS BOULEVARD,Manhattan,110,9,40.8263481,-73.93898581,Not Extended Affordability,Non Prevailing Wage,0,0,27,27
52733,HCCI 2,2853,FREDERICK DOUGLASS BOULEVARD,Manhattan,110,9,40.82778625,-73.93884357,Not Extended Affordability,Non Prevailing Wage,0,0,49,49
52733,HCCI 2,220,BRADHURST AVENUE,Manhattan,110,9,40.82778625,-73.93884357,Not Extended Affordability,Non Prevailing Wage,0,0,18,18
52733,HCCI 2,161,LENOX AVENUE,Manhattan,110,9,40.80360199,-73.94904098,Not Extended Affordability,Non Prevailing Wage,0,0,13,13
52733,HCCI 2,191,LENOX AVENUE,Manhattan,110,9,40.80444708,-73.94839377,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
52733,HCCI 2,166,WEST 120 STREET,Manhattan,110,9,40.80534815,-73.95022082,Not Extended Affordability,Non Prevailing Wage,0,0,12,12
52733,HCCI 2,203,WEST 140 STREET,Manhattan,110,9,40.81891414,-73.94185043,Not Extended Affordability,Non Prevailing Wage,0,0,15,15
52733,HCCI 2,205,WEST 140 STREET,Manhattan,110,9,40.81895261,-73.94194072,Not Extended Affordability,Non Prevailing Wage,0,0,10,10
52733,HCCI 2,211,WEST 140 STREET,Manhattan,110,9,40.81906253,-73.94220075,Not Extended Affordability,Non Prevailing Wage,0,0,10,10
52733,HCCI 2,213,WEST 140 STREET,Manhattan,110,9,40.819101,-73.94229104,Not Extended Affordability,Non Prevailing Wage,0,0,15,15
52733,HCCI 2,215,WEST 140 STREET,Manhattan,110,9,40.81913673,-73.94237772,Not Extended Affordability,Non Prevailing Wage,0,0,15,15
52733,HCCI 2,223,WEST 145 STREET,Manhattan,110,9,40.8224128,-73.94018535,Not Extended Affordability,Non Prevailing Wage,0,0,16,16
52733,HCCI 2,210,WEST 147 STREET,Manhattan,110,9,40.8232111,-73.93938613,Not Extended Affordability,Non Prevailing Wage,0,0,41,41
52733,HCCI 2,302,WEST 150 STREET,Manhattan,110,9,40.82600015,-73.94018574,Not Extended Affordability,Non Prevailing Wage,0,0,7,7
52733,HCCI 2,308,WEST 150 STREET,Manhattan,110,9,40.82611282,-73.94045664,Not Extended Affordability,Non Prevailing Wage,0,0,18,18
52733,HCCI 2,86,WEST 120 STREET,Manhattan,110,9,40.80431494,-73.94752696,Not Extended Affordability,Non Prevailing Wage,0,0,8,8
54565,CONFIDENTIAL,----,----,Brooklyn,318,46,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54646,CONFIDENTIAL,----,----,Queens,414,31,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58248,CONFIDENTIAL,----,----,Staten Island,501,49,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58290,CONFIDENTIAL,----,----,Queens,407,24,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58508,BAM South Apartments (20140284),286,ASHLAND PLACE,Brooklyn,302,35,40.68620185,-73.97849918,Not Extended Affordability,Non Prevailing Wage,0,0,77,378
54643,CONFIDENTIAL,----,----,Queens,408,23,,,Not Extended Affordability,Non Prevailing Wage,0,1,1,1
53603,CONFIDENTIAL,----,----,Bronx,203,16,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
54391,CONFIDENTIAL,----,----,Queens,407,19,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
44265,CULVER EL PHASE I,1204,37 STREET,Brooklyn,312,39,40.64285213,-73.98728013,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
44265,CULVER EL PHASE I,1208,37 STREET,Brooklyn,312,39,40.64277252,-73.98714682,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
44265,CULVER EL PHASE I,1214,37 STREET,Brooklyn,312,39,40.64268192,-73.9869955,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
44265,CULVER EL PHASE I,1220,37 STREET,Brooklyn,312,39,40.64259133,-73.98684417,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
44265,CULVER EL PHASE I,1226,37 STREET,Brooklyn,312,39,40.64250073,-73.98669645,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
44265,CULVER EL PHASE I,1232,37 STREET,Brooklyn,312,39,40.64241014,-73.98654513,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
44265,CULVER EL PHASE I,1264,37 STREET,Brooklyn,312,39,40.64190225,-73.98570566,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
44265,CULVER EL PHASE I,1270,37 STREET,Brooklyn,312,39,40.64180891,-73.98555074,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
44265,CULVER EL PHASE I,1276,37 STREET,Brooklyn,312,39,40.64172655,-73.98541383,Not Extended Affordability,Non Prevailing Wage,0,0,4,4
52318,33 Bond Street,33,BOND STREET,Brooklyn,302,33,,,Not Extended Affordability,Non Prevailing Wage,0,0,143,714
54411,CONFIDENTIAL,----,----,Brooklyn,314,45,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54535,CONFIDENTIAL,----,----,Bronx,209,18,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54554,CONFIDENTIAL,----,----,Staten Island,503,51,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54555,CONFIDENTIAL,----,----,Staten Island,501,49,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
55467,Sam Burt Houses,2675,WEST 36 STREET,Brooklyn,313,47,40.58044717,-74.0022968,Not Extended Affordability,Non Prevailing Wage,0,0,147,147
